ID,L1_Name,L2_Name,L3_Name,Mcode,Date,Min,Max,Mean,Median,Std,Count
45,Indus,Trunk Indus,Trunk Indus,,2013-10-02,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-10-03,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-10-04,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-10-05,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-10-06,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-10-07,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-10-08,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-10-09,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-10-10,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-10-11,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-10-12,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-10-13,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-10-14,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-10-15,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-10-16,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-10-17,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-10-18,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-10-19,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-10-20,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-10-21,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-10-22,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-10-23,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-10-24,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-10-25,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-10-26,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-10-27,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-10-28,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-10-29,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-10-30,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-11-01,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-11-02,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-11-03,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-11-04,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-11-05,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-11-06,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-11-07,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-11-08,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-11-09,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-11-10,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-11-11,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-11-12,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-11-13,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-11-14,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-11-15,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-11-16,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-11-17,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-11-18,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-11-19,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-11-20,,,,,,
45,Indus,Trunk Indus,Trunk Indus,,2013-11-21,,,,,,
